!From MultiFun site 2003-09-29
!typos etc in MultiFun corrected
!Created by Michael Ashburner & Jane Lomax September 29 2003, updated by Jane Lomax December 19 2005
!version 1.3
!
MultiFun:1 Metabolism > GO:metabolism ; GO:0008152
MultiFun:4.9.A.13 The Short Chain Fatty Acid Transporter (scFAT) Family > GO:short-chain fatty acid transport ; GO:0015912
MultiFun:4.9.A.16 The Septal DNA Translocator (SDT) Family > GO:.
MultiFun:4.9.A.17 The Metal Ion Transporter (MIT) Family > GO:metal ion transporter activity ; GO:0046873
MultiFun:4.9.A.17 The Metal Ion Transporter (MIT) Family > GO:metal ion transport ; GO:0030001
MultiFun:4.9.B Putative uncharacterized transport protein > GO:transporter activity ; GO:0005215
MultiFun:4.9.B Putative uncharacterized transport protein > GO:transport ; GO:0006810
MultiFun:4.S substrate > GO:transporter activity ; GO:0005215
MultiFun:4.S substrate > GO:transport ; GO:0006810
MultiFun:4.S.1 (D)-glucarate/galactarate > GO:D-galactarate transport ; GO:0042871
MultiFun:4.S.1 (D)-glucarate/galactarate > GO:D-galactarate transporter activity ; GO:0042877
MultiFun:4.S.1 (D)-glucarate/galactarate > GO:D-glucarate transporter activity ; GO:0042878
MultiFun:4.S.10 allose/ribose > GO:allose transport ; GO:0015754
MultiFun:4.S.10 allose/ribose > GO:D-ribose transport ; GO:0015752
MultiFun:4.S.10 allose/ribose > GO:allose transporter activity ; GO:0015593
MultiFun:4.S.10 allose/ribose > GO:D-ribose transporter activity ; GO:0015591
MultiFun:4.S.100 L-arabinose > GO:L-arabinose transport ; GO:0042882
MultiFun:4.S.100 L-arabinose > GO:L-arabinose transporter activity ; GO:0015147
MultiFun:4.S.101 L-arabinose /H+ > GO:arabinose:hydrogen symporter activity ; GO:0015518
MultiFun:4.S.102 L-arabinose/ isopropyl-beta-D-thiogalactopyranoside > GO:L-arabinose transporter activity ; GO:0015147
MultiFun:4.S.103 L-asparagine > GO:L-asparagine transport ; GO:0006867
MultiFun:4.S.103 L-asparagine > GO:L-asparagine transporter activity ; GO:0015182
MultiFun:4.S.104 lipooligosaccharides > GO:lipopolysaccharide transport ; GO:0015920
MultiFun:4.S.104 lipooligosaccharides > GO:lipopolysaccharide transporter activity ; GO:0015221
MultiFun:4.S.105 lipopolysaccharide > GO:lipopolysaccharide transport ; GO:0015920
MultiFun:4.S.105 lipopolysaccharide > GO:lipopolysaccharide transporter activity ; GO:0015221
MultiFun:4.S.106 lipoprotein > GO:lipoprotein transport ; GO:0042953 ; lipoprotein transporter activity ; GO:0042954
MultiFun:4.S.107 L-lactate > GO:lactate transport ; GO:0015727
MultiFun:4.S.107 L-lactate > GO:lactate transporter activity ; GO:0015129
MultiFun:4.S.108 L-leucine/L-valine/L-iso-leucine > GO:L-isoleucine transport ; GO:0015818
MultiFun:4.S.108 L-leucine/L-valine/L-iso-leucine > GO:L-leucine transport ; GO:0015820
MultiFun:4.S.108 L-leucine/L-valine/L-iso-leucine > GO:L-valine transport ; GO:0015829
MultiFun:4.S.108 L-leucine/L-valine/L-iso-leucine > GO:L-isoleucine transporter activity ; GO:0015188
MultiFun:4.S.108 L-leucine/L-valine/L-iso-leucine > GO:L-valine transporter activity ; GO:0005304
MultiFun:4.S.108 L-leucine/L-valine/L-iso-leucine > GO:L-leucine transporter activity ; GO:0015190
MultiFun:4.S.109 L-rhamnose/H+ > GO:rhamnose transport ; GO:0015762
MultiFun:4.S.109 L-rhamnose/H+ > GO:rhamnose transporter activity ; GO:0015153
MultiFun:4.S.11 alpha-ketoglutarate > GO:alpha-ketoglutarate transport ; GO:0015742
MultiFun:4.S.11 alpha-ketoglutarate > GO:alpha-ketoglutarate transporter activity ; GO:0015139
MultiFun:4.S.110 L-threonine/L-serine > GO:L-threonine transport ; GO:0015826
MultiFun:4.S.110 L-threonine/L-serine > GO:L-serine transport ; GO:0015825
MultiFun:4.S.110 L-threonine/L-serine > GO:L-threonine transporter activity ; GO:0015195
MultiFun:4.S.110 L-threonine/L-serine > GO:L-serine transporter activity ; GO:0015194
MultiFun:4.S.111 lysine > GO:L-lysine transport ; GO:0015819
MultiFun:4.S.111 lysine > GO:L-lysine transporter activity ; GO:0015189
MultiFun:4.S.112 lysine/arginine/ornithine > GO:L-lysine transport ; GO:0015819
MultiFun:4.S.112 lysine/arginine/ornithine > GO:L-lysine transporter activity ; GO:0015189
MultiFun:4.S.112 lysine/arginine/ornithine > GO:L-arginine transport ; GO:0015809
MultiFun:4.S.112 lysine/arginine/ornithine > GO:L-arginine transporter activity ; GO:0015181
MultiFun:4.S.112 lysine/arginine/ornithine > GO:L-ornithine transporter activity ; GO:0000064
MultiFun:4.S.112 lysine/arginine/ornithine > GO:L-ornithine transport ; GO:0015822
MultiFun:4.S.113 maltose > GO:maltose transporter activity ; GO:0005363
MultiFun:4.S.113 maltose > GO:maltose transport ; GO:0015768
MultiFun:4.S.114 maltose/maltodextrin > GO:maltodextrin transport ; GO:0042956
MultiFun:4.S.114 maltose/maltodextrin > GO:maltodextrin transporter activity ; GO:0042958
MultiFun:4.S.114 maltose/maltodextrin > GO:maltose transporter activity ; GO:0005363
MultiFun:4.S.114 maltose/maltodextrin > GO:maltose transport ; GO:0015768
MultiFun:4.S.115 mannitol > GO:mannitol transport ; GO:0015797
MultiFun:4.S.115 mannitol > GO:mannitol transporter activity ; GO:0015575
MultiFun:4.S.116 mannose > GO:mannose transport ; GO:0015761
MultiFun:4.S.116 mannose > GO:mannose transporter activity ; GO:0015578
MultiFun:4.S.117 melibiose > GO:melibiose transporter activity ; GO:0015156
MultiFun:4.S.117 melibiose > GO:melibiose transport ; GO:0015769
MultiFun:4.S.118 methionine > GO:L-methionine transport ; GO:0015821
MultiFun:4.S.118 methionine > GO:L-methionine transporter activity ; GO:0015191
MultiFun:4.S.119 methylgalactoside/galactose > GO:galactose transporter activity ; GO:0005354
MultiFun:4.S.119 methylgalactoside/galactose > GO:galactose transporter activity ; GO:0005354
MultiFun:4.S.119 methylgalactoside/galactose > GO:methylgalactoside transporter activity ; GO:0015592
MultiFun:4.S.119 methylgalactoside/galactose > GO:methylgalactoside transport ; GO:0015765
MultiFun:4.S.12 amino acid > GO:amino acid transporter activity ; GO:0015171
MultiFun:4.S.12 amino acid > GO:amino acid transport ; GO:0006865
MultiFun:4.S.120 Mg++ > GO:magnesium ion transport ; GO:0015693
MultiFun:4.S.120 Mg++ > GO:magnesium ion transporter activity ; GO:0015095
MultiFun:4.S.121 Mg2+/Ni2+/Co2+ > GO:nickel ion transport ; GO:0015675
MultiFun:4.S.121 Mg2+/Ni2+/Co2+ > GO:cobalt ion transport ; GO:0006824
MultiFun:4.S.121 Mg2+/Ni2+/Co2+ > GO:magnesium ion transport ; GO:0015693
MultiFun:4.S.121 Mg2+/Ni2+/Co2+ > GO:nickel ion transporter activity ; GO:0015099
MultiFun:4.S.121 Mg2+/Ni2+/Co2+ > GO:cobalt ion transporter activity ; GO:0015087
MultiFun:4.S.121 Mg2+/Ni2+/Co2+ > GO:magnesium ion transporter activity ; GO:0015095
MultiFun:4.S.122 microcin B17 > GO:microcin uptake permease activity ; GO:0015638
MultiFun:4.S.122 microcin B17 > GO:microcin B17 transport ; GO:0042885
MultiFun:4.S.123 Mn+/H+ > GO:manganese ion transporter activity ; GO:0005384
MultiFun:4.S.123 Mn+/H+ > GO:manganese ion transport ; GO:0006828
MultiFun:4.S.124 molybdate > GO:molybdate ion transport ; GO:0015689
MultiFun:4.S.124 molybdate > GO:molybdate ion transporter activity ; GO:0015098
MultiFun:4.S.125 molybdenum > GO:molybdenum ion transporter activity ; GO:0042888
MultiFun:4.S.126 multidrug > GO:multidrug transporter activity ; GO:0015239
MultiFun:4.S.126 multidrug > GO:multidrug transport ; GO:0006855
MultiFun:4.S.127 multidrug/bicyclomycin > GO:bicyclomycin transport ; GO:0015905
MultiFun:4.S.127 multidrug/bicyclomycin > GO:bicyclomycin transporter activity ; GO:0015545
MultiFun:4.S.128 muropeptide > GO:peptidoglycan peptide transporter activity ; GO:0015640
MultiFun:4.S.128 muropeptide > GO:peptidoglycan peptide transport ; GO:0015834
MultiFun:4.S.129 myo-inositol > GO:myo-inositol transport ; GO:0015798
MultiFun:4.S.129 myo-inositol > GO:myo-inositol transporter activity ; GO:0005365
MultiFun:4.S.13 amino acid/amide > GO:amide transport ; GO:0042886
MultiFun:4.S.130 Na+ > GO:sodium ion transporter activity ; GO:0015081
MultiFun:4.S.130 Na+ > GO:sodium ion transport ; GO:0006814
MultiFun:4.S.131 Na+/ alanine/glycine > GO:L-alanine transport ; GO:0015808
MultiFun:4.S.131 Na+/ alanine/glycine > GO:glycine transport ; GO:0015816
MultiFun:4.S.131 Na+/ alanine/glycine > GO:L-alanine transporter activity ; GO:0015180
MultiFun:4.S.131 Na+/ alanine/glycine > GO:glycine transporter activity ; GO:0015187
MultiFun:4.S.132 Na+/ H+ > GO:sodium:hydrogen antiporter activity ; GO:0015385
MultiFun:4.S.133 Na+/Ca+ > GO:calcium:sodium antiporter activity ; GO:0005432
MultiFun:4.S.134 Na+/dicarboxylate > GO:sodium:dicarboxylate symporter activity ; GO:0017153
MultiFun:4.S.135 Na+/glutamate/aspartate > GO:L-glutamate transport ; GO:0015813
MultiFun:4.S.135 Na+/glutamate/aspartate > GO:L-aspartate transport ; GO:0015810
MultiFun:4.S.135 Na+/glutamate/aspartate > GO:L-aspartate transporter activity ; GO:0015183
MultiFun:4.S.135 Na+/glutamate/aspartate > GO:L-glutamate transporter activity ; GO:0005313
MultiFun:4.S.136 Na+/H+ > GO:sodium:hydrogen antiporter activity ; GO:0015385
MultiFun:4.S.137 Na+/leucine/valine/iso-leucine > GO:L-isoleucine transport ; GO:0015818
MultiFun:4.S.137 Na+/leucine/valine/iso-leucine > GO:L-leucine transport ; GO:0015820
MultiFun:4.S.137 Na+/leucine/valine/iso-leucine > GO:L-valine transport ; GO:0015829
MultiFun:4.S.137 Na+/leucine/valine/iso-leucine > GO:L-isoleucine transporter activity ; GO:0015188
MultiFun:4.S.137 Na+/leucine/valine/iso-leucine > GO:L-leucine transporter activity ; GO:0015190
MultiFun:4.S.138 Na+/pantothenate > GO:pantothenate transport ; GO:0015887
MultiFun:4.S.138 Na+/pantothenate > GO:pantothenate:sodium symporter activity ; GO:0015498
MultiFun:4.S.139 Na+/proline > GO:proline:sodium symporter activity ; GO:0005298
MultiFun:4.S.14 ammonium > GO:ammonium transport ; GO:0015696
MultiFun:4.S.14 ammonium > GO:ammonium transporter activity ; GO:0008519
MultiFun:4.S.140 Na+/serine/threonine > GO:L-threonine transport ; GO:0015826
MultiFun:4.S.140 Na+/serine/threonine > GO:L-serine transport ; GO:0015825
MultiFun:4.S.140 Na+/serine/threonine > GO:L-threonine transporter activity ; GO:0015195
MultiFun:4.S.140 Na+/serine/threonine > GO:L-serine transporter activity ; GO:0015194
MultiFun:4.S.141 N-acetylgalactosamine > GO:N-acetylgalactosamine transport ; GO:0015763
MultiFun:4.S.141 N-acetylgalactosamine > GO:N-acetylgalactosamine transporter activity ; GO:0015571
MultiFun:4.S.142 N-acetylglucosamine > GO:N-acetylglucosamine transport ; GO:0015764
MultiFun:4.S.142 N-acetylglucosamine > GO:N-acetylglucosamine transporter activity ; GO:0015572
MultiFun:4.S.143 Ni++ > GO:nickel ion transport ; GO:0015675
MultiFun:4.S.143 Ni++ > GO:nickel ion transporter activity ; GO:0015099
MultiFun:4.S.144 nicotinamide mononucleotide > GO:nicotinamide mononucleotide transport ; GO:0015890
MultiFun:4.S.144 nicotinamide mononucleotide > GO:nicotinamide mononucleotide transporter activity ; GO:0015663
MultiFun:4.S.145 nitrite > GO:nitrite transport ; GO:0015707
MultiFun:4.S.145 nitrite > GO:nitrite transporter activity ; GO:0015113
MultiFun:4.S.146 nucleoside > GO:nucleoside transport ; GO:0015858
MultiFun:4.S.146 nucleoside > GO:nucleoside transporter activity ; GO:0005337
MultiFun:4.S.146 nucleoside > GO:nucleoside transport ; GO:0015858
MultiFun:4.S.147 nucleoside/H+ > GO:nucleoside transport ; GO:0015858
MultiFun:4.S.147 nucleoside/H+ > GO:nucleoside transporter activity ; GO:0005337
MultiFun:4.S.147 nucleoside/H+ > GO:nucleoside transport ; GO:0015858
MultiFun:4.S.148 oligopeptide > GO:oligopeptide transport ; GO:0006857
MultiFun:4.S.148 oligopeptide > GO:oligopeptide transporter activity ; GO:0015198
MultiFun:4.S.15 antibiotic > GO:antibiotic transport ; GO:0042891
MultiFun:4.S.15 antibiotic > GO:antibiotic transporter activity ; GO:0042895
MultiFun:4.S.150 p-aminobenzoyl-glutamate > GO:p-aminobenzoyl-glutamate transport ; GO:0015814
MultiFun:4.S.150 p-aminobenzoyl-glutamate > GO:p-aminobenzoyl-glutamate transporter activity ; GO:0015569
MultiFun:4.S.151 Pb/Cd/Zn/Hg > GO:lead ion transport ; GO:0015692
MultiFun:4.S.151 Pb/Cd/Zn/Hg > GO:lead ion transporter activity ; GO:0015094
MultiFun:4.S.151 Pb/Cd/Zn/Hg > GO:zinc ion transport ; GO:0006829
MultiFun:4.S.151 Pb/Cd/Zn/Hg > GO:zinc ion transporter activity ; GO:0005385
MultiFun:4.S.151 Pb/Cd/Zn/Hg > GO:cadmium ion transport ; GO:0015691
MultiFun:4.S.151 Pb/Cd/Zn/Hg > GO:cadmium ion transporter activity ; GO:0015086
MultiFun:4.S.151 Pb/Cd/Zn/Hg > GO:zinc ion transport ; GO:0006829
MultiFun:4.S.151 Pb/Cd/Zn/Hg > GO:zinc ion transporter activity ; GO:0005385
MultiFun:4.S.151 Pb/Cd/Zn/Hg > GO:mercury ion transport ; GO:0015694
MultiFun:4.S.151 Pb/Cd/Zn/Hg > GO:mercury ion transporter activity ; GO:0015097
MultiFun:4.S.152 peptide > GO:peptide transport ; GO:0015833
MultiFun:4.S.152 peptide > GO:peptide transporter activity ; GO:0015197
MultiFun:4.S.153 phenylalanine > GO:L-phenylalanine transport ; GO:0015823
MultiFun:4.S.153 phenylalanine > GO:L-phenylalanine transporter activity ; GO:0015192
MultiFun:4.S.154 phenylalanine/ tyrosine > GO:aromatic amino acid transport ; GO:0015801
MultiFun:4.S.154 phenylalanine/ tyrosine > GO:aromatic amino acid transporter activity ; GO:0015173
MultiFun:4.S.155 phosphate > GO:phosphate transport ; GO:0006817
MultiFun:4.S.155 phosphate > GO:phosphate transporter activity ; GO:0015114
MultiFun:4.S.156 polymyxin > GO:polymyxin transport ; GO:0042893
MultiFun:4.S.156 polymyxin > GO:polymyxin transporter activity ; GO:0042897
MultiFun:4.S.158 proline > GO:L-proline transport ; GO:0015824
MultiFun:4.S.158 proline > GO:L-proline transporter activity ; GO:0015193
MultiFun:4.S.159 proline/betaine > GO:betaine transport ; GO:0015838
MultiFun:4.S.159 proline/betaine > GO:L-proline transport ; GO:0015824
MultiFun:4.S.159 proline/betaine > GO:glycine transporter activity ; GO:0015187
MultiFun:4.S.159 proline/betaine > betaine transporter activity ; GO:0015199
MultiFun:4.S.16 arabinose polymer > GO:arabinose polymer transport ; GO:0042899
MultiFun:4.S.16 arabinose polymer > GO:arabinose transporter activity ; GO:0042900
MultiFun:4.S.160 protein > GO:protein transport ; GO:0015031
MultiFun:4.S.160 protein > GO:protein transporter activity ; GO:0008565
MultiFun:4.S.161 protein/DNA > GO:DNA-protein complex transport ; GO:0015869
MultiFun:4.S.161 protein/DNA > GO:DNA-protein complex transporter activity ; GO:0015219
MultiFun:4.S.162 purine/xanthine > GO:purine transport ; GO:0006863
MultiFun:4.S.162 purine/xanthine > GO:purine transporter activity ; GO:0005345
MultiFun:4.S.163 putrescine > GO:putrescine transport ; GO:0015847
MultiFun:4.S.164 putrescine/ornithine > GO:putrescine:ornithine antiporter activity ; GO:0015496
MultiFun:4.S.166 putrescine/spermidine > GO:putrescine transport ; GO:0015847
MultiFun:4.S.166 putrescine/spermidine > GO:spermidine transport ; GO:0015848
MultiFun:4.S.166 putrescine/spermidine > GO:spermidine transporter activity ; GO:0015606
MultiFun:4.S.166 putrescine/spermidine > GO:putrescine transporter activity ; GO:0015489
MultiFun:4.S.167 serine > GO:L-serine transport ; GO:0015825
MultiFun:4.S.167 serine > GO:L-serine transporter activity ; GO:0015194
MultiFun:4.S.168 shikimate/dehydroshikimate > GO:shikimate transporter activity ; GO:0015530
MultiFun:4.S.168 shikimate/dehydroshikimate > GO:shikimate transport ; GO:0015733
MultiFun:4.S.169 sialic acid > GO:sialic acid transport ; GO:0015739
MultiFun:4.S.169 sialic acid > GO:sialic acid transporter activity ; GO:0015136
MultiFun:4.S.17 arginine > GO:L-arginine transport ; GO:0015809
MultiFun:4.S.17 arginine > GO:L-arginine transporter activity ; GO:0015181
MultiFun:4.S.170 S-methylmethionine > GO:S-methylmethionine transport ; GO:0015806
MultiFun:4.S.170 S-methylmethionine > GO:S-methylmethionine transporter activity ; GO:0000100
MultiFun:4.S.172 sucrose > GO:sucrose transporter activity ; GO:0008515
MultiFun:4.S.172 sucrose > GO:sucrose transport ; GO:0015770
MultiFun:4.S.173 sugar > GO:carbohydrate transport ; GO:0008643
MultiFun:4.S.173 sugar > GO:carbohydrate transporter activity ; GO:0015144
MultiFun:4.S.174 sulfate > GO:sulfate transport ; GO:0008272
MultiFun:4.S.174 sulfate > GO:sulfate transporter activity ; GO:0015116
MultiFun:4.S.175 taurine > GO:taurine transport ; GO:0015734
MultiFun:4.S.175 taurine > GO:taurine transporter activity ; GO:0005368
MultiFun:4.S.176 tellurite > GO:tellurite transport ; GO:0015710
MultiFun:4.S.176 tellurite > GO:tellurite transporter activity ; GO:0015118
MultiFun:4.S.177 thiamine > GO:thiamin transport ; GO:0015888
MultiFun:4.S.177 thiamine > GO:thiamin transporter activity ; GO:0015234
MultiFun:4.S.178 thiosulfate > GO:thiosulfate transport ; GO:0015709
MultiFun:4.S.178 thiosulfate > GO:sulfate transport ; GO:0008272
MultiFun:4.S.178 thiosulfate > GO:thiosulfate transporter activity ; GO:0015117
MultiFun:4.S.179 thiosulfate/sulfate > GO:sulfate-transporting ATPase activity ; GO:0015419
MultiFun:4.S.18 arginine/ornithine > GO:L-ornithine transport ; GO:0015822
MultiFun:4.S.18 arginine/ornithine > GO:L-arginine transport ; GO:0015809
MultiFun:4.S.180 threonine > GO:L-threonine transport ; GO:0015826
MultiFun:4.S.180 threonine > GO:L-threonine transporter activity ; GO:0015195
MultiFun:4.S.181 trehalose > GO:trehalose transport ; GO:0015771
MultiFun:4.S.181 trehalose > GO:trehalose transporter activity ; GO:0015574
MultiFun:4.S.182 tripeptide > GO:tripeptide transport ; GO:0042939
MultiFun:4.S.182 tripeptide > GO:tripeptide transporter activity ; GO:0042937
MultiFun:4.S.183 tryptophan > GO:L-tryptophan transport ; GO:0015827
MultiFun:4.S.183 tryptophan > GO:L-tryptophan transporter activity ; GO:0015196
MultiFun:4.S.184 tyrosine > GO:L-tyrosine transport ; GO:0015828
MultiFun:4.S.184 tyrosine > GO:L-tyrosine transporter activity ; GO:0005302
MultiFun:4.S.185 uracil > GO:uracil transport ; GO:0015857
MultiFun:4.S.185 uracil > GO:uracil transporter activity ; GO:0015210
MultiFun:4.S.187 vitamin B12 > GO:cobalamin transport ; GO:0015889
MultiFun:4.S.187 vitamin B12 > GO:cobalamin transporter activity ; GO:0015235
MultiFun:4.S.188 water > GO:water transport ; GO:0006833
MultiFun:4.S.188 water > GO:water transporter activity ; GO:0005372
MultiFun:4.S.189 xanthosine > GO:xanthosine transport ; GO:0015863
MultiFun:4.S.189 xanthosine > GO:xanthosine transporter activity ; GO:0015553
MultiFun:4.S.19 arsenite > GO:arsenite transport ; GO:0015700
MultiFun:4.S.19 arsenite > GO:arsenite transporter activity ; GO:0015105
MultiFun:4.S.190 xylose/H+ > GO:D-xylose transport ; GO:0015753
MultiFun:4.S.191 Zn > GO:zinc ion transport ; GO:0006829
MultiFun:4.S.191 Zn > GO:zinc ion transporter activity ; GO:0005385
MultiFun:4.S.192 chrysobactin > GO:chrysobactin transport ; GO:0042932
MultiFun:4.S.192 chrysobactin > GO:chrysobactin transporter activity ; GO:0042933
MultiFun:4.S.193 achromobactin > GO:achromobactin transport ; GO:0042935
MultiFun:4.S.193 achromobactin > GO:achromobactin transporter activity ; GO:0042934
MultiFun:4.S.2 2-keto-3-deoxy-D-gluconate > GO:2-keto-3-deoxygluconate transport ; GO:0046411
MultiFun:4.S.2 2-keto-3-deoxy-D-gluconate > GO:2-keto-3-deoxygluconate:hydrogen symporter activity ; GO:0015649
MultiFun:4.S.20 benzoate > GO:benzoate transport ; GO:0042919
MultiFun:4.S.20 benzoate > GO:benzoate transporter activity ; GO:0042925
MultiFun:4.S.21 lactose/glucose > GO:glucose transporter activity ; GO:0005355
MultiFun:4.S.21 lactose/glucose > GO:lactose transporter activity ; GO:0015155
MultiFun:4.S.22 beta-glucoside > GO:beta-glucoside transport ; GO:0015759
MultiFun:4.S.22 beta-glucoside > GO:beta-glucoside transporter activity ; GO:0015573
MultiFun:4.S.25 Ca+/ H+ > GO:calcium ion transport ; GO:0006816
MultiFun:4.S.25 Ca+/ H+ > GO:calcium:hydrogen antiporter activity ; GO:0015369
MultiFun:4.S.26 cadaverine/lysine > GO:L-lysine transport ; GO:0015819
MultiFun:4.S.26 cadaverine/lysine > GO:cadaverine transport ; GO:0015839
MultiFun:4.S.26 cadaverine/lysine > GO:cadaverine:lysine antiporter activity ; GO:0015497
MultiFun:4.S.27 carnitine > GO:carnitine transport ; GO:0015879
MultiFun:4.S.27 carnitine > GO:carnitine transporter activity ; GO:0015226
MultiFun:4.S.28 cation > GO:cation transport ; GO:0006812
MultiFun:4.S.28 cation > GO:cation transporter activity ; GO:0008324
MultiFun:4.S.29 cellobiose/arbutin/salicin > GO:salicin transport ; GO:0042948
MultiFun:4.S.29 cellobiose/arbutin/salicin > GO:salicin transporter activity ; GO:0042950
MultiFun:4.S.29 cellobiose/arbutin/salicin > GO:cellobiose transport ; GO:0019533
MultiFun:4.S.29 cellobiose/arbutin/salicin > GO:cellobiose transporter activity ; GO:0019191
MultiFun:4.S.29 cellobiose/arbutin/salicin > GO:salicin transporter activity ; GO:0042950
MultiFun:4.S.29 cellobiose/arbutin/salicin > GO:salicin transporter activity ; GO:0042950
MultiFun:4.S.3 3-hydroxyphenylpropionic acid > GO:3-hydroxyphenylpropionic acid transport ; GO:0042920
MultiFun:4.S.3 3-hydroxyphenylpropionic acid > GO:3-hydroxyphenylpropionic acid transporter activity ; GO:0042926
MultiFun:4.S.31 chloramphenicol > GO:chloramphenicol transport ; GO:0042892
MultiFun:4.S.32 chloride > GO:chloride transport ; GO:0006821
MultiFun:4.S.32 chloride > GO:chloride transporter activity ; GO:0015108
MultiFun:4.S.33 choline > GO:choline transport ; GO:0015871
MultiFun:4.S.33 choline > GO:choline transporter activity ; GO:0015220
MultiFun:4.S.34 citrate/succinate > GO:succinate transport ; GO:0015744
MultiFun:4.S.34 citrate/succinate > GO:citrate transport ; GO:0015746
MultiFun:4.S.34 citrate/succinate > GO:citrate:succinate antiporter activity ; GO:0015515
MultiFun:4.S.35 colicin > GO:colicin transport ; GO:0042914 ; GO:colicin transport activity ; GO:0042912
MultiFun:4.S.36 Cu+ > GO:copper ion transport ; GO:0006825
MultiFun:4.S.36 Cu+ > GO:copper ion transporter activity ; GO:0005375
MultiFun:4.S.37 curli subunit > GO:.
MultiFun:4.S.38 cyanate > GO:cyanate transport ; GO:0015704
MultiFun:4.S.38 cyanate > GO:cyanate transporter activity ; GO:0015110
MultiFun:4.S.39 cysteine > GO:L-cysteine transport ; GO:0042883
MultiFun:4.S.4 3-phenylpropionic acid > GO:3-phenylpropionic acid transport ; GO:0042889
MultiFun:4.S.40 cysteine/O-acetyl-L-serine/cysteine metabolites > GO:.
MultiFun:4.S.41 cytosine > GO:cytosine transport ; GO:0015856
MultiFun:4.S.41 cytosine > GO:cytosine transporter activity ; GO:0015209
MultiFun:4.S.42 D-alanine/D-serine/glycine > GO:D-serine transport ; GO:0042942
MultiFun:4.S.42 D-alanine/D-serine/glycine > GO:D-alanine transport ; GO:0042941
MultiFun:4.S.42 D-alanine/D-serine/glycine > GO:D-alanine transporter activity ; GO:0042944
MultiFun:4.S.42 D-alanine/D-serine/glycine > GO:D-serine transporter activity ; GO:0042945
MultiFun:4.S.43 D-galactonate > GO:D-galactonate transport ; GO:0042875
MultiFun:4.S.43 D-galactonate > GO:D-glucuronate transporter activity ; GO:0042880
MultiFun:4.S.44 D-glucarate > GO:D-galactarate transport ; GO:0042871
MultiFun:4.S.44 D-glucarate > GO:D-glucarate transporter activity ; GO:0042878
MultiFun:4.S.45 D-glucose/trehalose > GO:trehalose transport ; GO:0015771
MultiFun:4.S.45 D-glucose/trehalose > GO:glucose transport ; GO:0015758
MultiFun:4.S.45 D-glucose/trehalose > GO:trehalose transporter activity ; GO:0015574
MultiFun:4.S.45 D-glucose/trehalose > GO:glucose transporter activity ; GO:0005355
MultiFun:4.S.46 dicarboxylate > GO:dicarboxylic acid transport ; GO:0006835
MultiFun:4.S.46 dicarboxylate > GO:dicarboxylic acid transporter activity ; GO:0005310
MultiFun:4.S.47 dipeptide > GO:dipeptide transport ; GO:0042938
MultiFun:4.S.47 dipeptide > GO:dipeptide transporter activity ; GO:0042936
MultiFun:4.S.48 D-ribose > GO:D-ribose transport ; GO:0015752
MultiFun:4.S.48 D-ribose > GO:D-ribose transporter activity ; GO:0015591
MultiFun:4.S.49 drug > GO:drug transport ; GO:0015893
MultiFun:4.S.49 drug > GO:drug transporter activity ; GO:0015238
MultiFun:4.S.5 alkanesulfonate > GO:alkanesulfonate transport ; GO:0042918
MultiFun:4.S.5 alkanesulfonate > GO:alkanesulfonate transporter activity ; GO:0042959
MultiFun:4.S.50 D-xylose > GO:D-xylose transport ; GO:0015753
MultiFun:4.S.50 D-xylose > GO:D-xylose transporter activity ; GO:0015148
MultiFun:4.S.51 enterochelin > GO:enterobactin transport ; GO:0042930
MultiFun:4.S.51 enterochelin > GO:enterobactin transporter activity ; GO:0042931
MultiFun:4.S.52 fatty acid > GO:fatty acid transport ; GO:0015908
MultiFun:4.S.52 fatty acid > GO:fatty acid transporter activity ; GO:0015245
MultiFun:4.S.53 Fe > GO:iron ion transport ; GO:0006826
MultiFun:4.S.53 Fe > GO:iron ion transporter activity ; GO:0005381
MultiFun:4.S.54 Fe++ > GO:ferric iron transport ; GO:0015682
MultiFun:4.S.54 Fe++ > GO:ferric iron transporter activity ; GO:0015091
MultiFun:4.S.56 ferric enterobactin > GO:ferric-enterobactin transport ; GO:0015685
MultiFun:4.S.56 ferric enterobactin > GO:ferric-enterobactin transporter activity ; GO:0015620
MultiFun:4.S.57 ferric hydroxamate > GO:ferric-hydroxamate transport ; GO:0015687
MultiFun:4.S.57 ferric hydroxamate > GO:ferric-hydroxamate transporter activity ; GO:0015622
MultiFun:4.S.58 ferrichrome > GO:ferrichrome transport ; GO:0042928
MultiFun:4.S.58 ferrichrome > GO:ferrichrome transporter activity ; GO:0042929
MultiFun:4.S.59 formate > GO:formate transport ; GO:0015724
MultiFun:4.S.59 formate > GO:formate transporter activity ; GO:0015499
MultiFun:4.S.60 formate/oxalate > GO:formate transport ; GO:0015724
MultiFun:4.S.60 formate/oxalate > GO:oxalate transport ; GO:0019532
MultiFun:4.S.60 formate/oxalate > GO:formate transporter activity ; GO:0015499
MultiFun:4.S.60 formate/oxalate > GO:oxalate transporter activity ; GO:0019531
MultiFun:4.S.61 fosmidomycin/H+ > GO:fosmidomycin transport ; GO:0042894
MultiFun:4.S.61 fosmidomycin/H+ > GO:fosmidomycin transporter activity ; GO:0042898
MultiFun:4.S.63 fructose > GO:fructose transport ; GO:0015755
MultiFun:4.S.63 fructose > GO:fructose transporter activity ; GO:0005353
